card_name,card_number
Misty's Psyduck,193/182
Copycat - 2005 (Michael Gonzalez),83/109
Kingdra,008/111
Electabuzz (Delta Species),29/101
Kirlia,SV35/SV94
Mienshao (Master Ball Pattern),053/086
Brock's Zubat (24),024/132
Pidgey - 2005 (Takashi Yoneda),73/112
Pikachu (Base Set),58
Altaria - XY46 (Prerelease),XY46
Alakazam,2/123
Janine (Full Art),210/214
Rapidash,13/112
Warp Point - 2007 (Jeremy Scharff-Kim),116/130
Diglett,050/144
Black Belt,085/102
Primeape,39
Clawitzer (XY Steam Siege Prerelease),XY146
Reshiram,017/094
Yveltal,94/162
Brock's Rhyhorn (22),022/132
Energy Switch,75/108
Eternatus V,TG21/TG30
Lightning Energy,91/95
Ampharos - 075 [Staff],075
Reshiram - BW004,BW004
Lunala GX - SM103,SM103
Espurr,095/088
Pokemon Retriever - 2006 (Hiroki Yano),84/109
Charmander,98/97
Nidoran F,57/64
Froakie,004/012
Leavanny (Master Ball Pattern),003/086
Darkness Energy (2011 Play! Pokemon),
Poliwrath,11/112
Fighting Energy (#8),8/30
Muk & Alolan Muk GX (197) (Full Art),197/214
Energy Switch (Secret),212/195
Salazzle - SM73 (Prerelease) [Staff],SM73
Camerupt,18
Fairy Energy (#25),25/30
Code Card - Detective Pikachu Case File [Greninja GX],
M Pidgeot EX (Full Art),105/108
Giant Stump - 2006 (Jimmy Ballard),75/92
Turffield Stadium (Secret),234/203
Dark Crobat,3/109
Shiftry ex,97/100
Seel (94),094/144
Time Shard,135/147
Lurantis - SM25,SM25
Carnivine,007/017
Solgaleo GX - SM104a,SM104a
Zapdos ex - 049,049
Charmander,069/130
Nessa (Secret),196/185
Delibird,039/123
Mewtwo EX - XY125,XY125
Genesect V,185/264
Hydrapple ex,014/142
Jolteon (13),013/144
Graveler,30/64
Gym Badge (Sabrina),XY208
Cornerstone Mask Ogerpon ex,215/167
Here Comes Team Rocket! (71),71/82
Floatzel GL,4/111
Skitty,71/109
Gallade EX - XY45 (XY Black Star Promo),XY45
Arceus & Dialga & Palkia GX,156/236
Code Card - Red & Blue Collection [Pikachu EX],
Marshadow GX - SM59,SM59
Gothitelle - 211,211
Blaine's Charmander,061/132
Shedinja,44
Float Stone - 2018 (Magnus Pedersen),137/162
Kartana GX,70/111
Minccino (#4),4/30
Ditto - 2025 (Yuya Okita),
Magneton,38/108
Raticate,058/130
Articuno ex,114/112
Unown (U),78/146
Heat Factory Prism Star - 2019 (Shintaro Ito),178/214
Hydreigon,79/101
Night Maintenance,009/017
Gastrodon,107/191
Cryogonal,111/086
Honchkrow V (Alternate Full Art),162/172
Aurorus,26/111
Lucario,67/156
Palafin,225/091
Volcanion EX,26/114
Psychic Energy - 2009 (Tsubasa Nakamura),
Medicham,34
Luxray GL,9/111
Melony (Secret),218/198
Dratini,66/113
Mega Manectric ex,158/132
Pikachu,48/162
Mimikyu (Secret),245/236
Iris's Fighting Spirit (Regional Championships),149/159
Team Rocket's Mewtwo ex,205
N - 2013 (Ian Whiton),96/108
Nidorino,055/147
Articuno (22),22/53
Garchomp (91),91/124
Zapdos - 157 (Cosmos Holo),157
Ponyta (UK Exclusive Promo),014/083
Blastoise & Piplup GX (Alternate Full Art),215/236
Melmetal,129/214
Castform,30/101
Alolan Vulpix VSTAR (Secret),197/195
Galarian Obstagoon,TG10/TG30
Galarian Moltres V (Full Art),176/198
Galarian Articuno,063/203
Fearow (45),045/165
Chien-Pao - 152,152
Ferrothorn,149/086
Alolan Dugtrio,208/191
Sceptile,20/109
Junk Arm - 2011 (Christopher Kan),87/102
Orbeetle VMAX,TG13/TG30
Dark Wartortle,46/82
Drifblim,16/100
Lickilicky,33/127
Kangaskhan EX - 2014 (Michikazu Tsuda),78/106
Vaporeon,41/90
Lapras,071/144
Dusknoir (17),17/100
Tapu Lele,150/214
Clemont's Quick Wit,243/191
Darkrai ex (Darkrai),110
Warp Point - 2010 (Michael Pramawat),88/100
Genesect ex,067/086
Miracle Sphere Alpha,129/144
Roaring Moon ex,251/182
Shaymin EX - 2015 (Jacob Van Wagner),77/108
Hawlucha,118/198
Pikachu,XY95
Charmeleon,024/102
Salamence,10/97
Pokemon Catcher,036/039
Plusle,193/182
Hydreigon ex,161/086
Cyndaquil,54/115
Mamoswine ex,079/159
Mareep,58/75
Seadra,48/109
Oshawott - BW03,BW03
Heatran GX (Full Art),216/236
Teal Mask Ogerpon ex,221/167
Greninja,9/18
Cubone,057/131
Professor Juniper - 2012 (Chase Moloney),98/108
Dark Rapidash,44/82
Ting-Lu ex,127/193
Drifblim,24/130
Torterra,17/130
Slowpoke,72/115
Lusamine (Full Art),153/156
Charizard,RC5/RC32
Tapu Fini - SM92,SM92
Team Rocket's Moltres ex,208/182
Dark Venusaur - 7 (Best of Game 7 Promo),007
Water Energy,132/132
Dragonite,052/108
Wigglytuff ex,101/101
Shaymin EX (106 Full Art),106/108
Earthen Vessel,096/064
Simisear VSTAR,023/159
Pikachu V - SWSH061,SWSH061
Lucario GX - SM100,SM100
Mega Froslass ex,275/217
Arceus Lv.X (95),95/99
Machamp,31/130
Zoroark (Master Ball Pattern),062/086
Shellder,129/165
Mawile,24/106
Noivern BREAK,113/162
Tentacruel,45/92
Persian,042/144
______'s Pikachu,24/53
Beldum,29/101
Energy Retrieval,108/086
Squirtle,64/100
Umbreon,10/90
Karen,XY177
Decidueye GX,SV47/SV94
Absol,96/95
Lugia EX,68/98
Ho-Oh V,140/195
Unfair Stamp,165/167
Double Colorless Energy - 2012 (Igor Costa),92/99
Prinplup (58) - 2008 (Dylan Lefavour),58/130
Luxray GL LV.X,109/111
Rayquaza,011/020
Mega Zygarde ex,047/088
Morty's Conviction,201/162
Walrein,36/111
Lucario GL,8/111
Water Energy (2017 Unnumbered) (Wave Foil),
Victini V,025/202
Cynthia's Garchomp ex,241/182
Drapion,15/100
Code Card - Mega Venusaur ex Premium Collection,
Ampharos,01/64
Umbreon V (Full Art),188/203
Weakness Guard - 2004 (Kevin Nguyen),141/147
Charizard,11/108
Inteleon V - SWSH016,SWSH016
Lost Vacuum (Secret),217/196
Umbreon,064/116
Float Stone - 2017 (Kabu Fukase),137/162
Latios,10/20
Silvally,070/084
