card_name,card_number,card_name_cleaned
Misty's Psyduck,193/182,Misty's Psyduck
Copycat - 2005 (Michael Gonzalez),83/109,Copycat - 2005 (Michael Gonzalez)
Kingdra,008/111,Kingdra
Electabuzz (Delta Species),29/101,Electabuzz (Delta Species)
Kirlia,SV35/SV94,Kirlia
Mienshao (Master Ball Pattern),053/086,Mienshao (Master Ball Pattern)
Brock's Zubat (24),024/132,Brock's Zubat
Pidgey - 2005 (Takashi Yoneda),73/112,Pidgey - 2005 (Takashi Yoneda)
Pikachu (Base Set),58,Pikachu (Base Set)
Altaria - XY46 (Prerelease),XY46,Altaria (Prerelease)
Alakazam,2/123,Alakazam
Janine (Full Art),210/214,Janine (Full Art)
Rapidash,13/112,Rapidash
Warp Point - 2007 (Jeremy Scharff-Kim),116/130,Warp Point - 2007 (Jeremy Scharff-Kim)
Diglett,050/144,Diglett
Black Belt,085/102,Black Belt
Primeape,39,Primeape
Clawitzer (XY Steam Siege Prerelease),XY146,Clawitzer (XY Steam Siege Prerelease)
Reshiram,017/094,Reshiram
Yveltal,94/162,Yveltal
Brock's Rhyhorn (22),022/132,Brock's Rhyhorn
Energy Switch,75/108,Energy Switch
Eternatus V,TG21/TG30,Eternatus V
Lightning Energy,91/95,Lightning Energy
Ampharos - 075 [Staff],075,Ampharos [Staff]
Reshiram - BW004,BW004,Reshiram
Lunala GX - SM103,SM103,Lunala GX
Espurr,095/088,Espurr
Pokemon Retriever - 2006 (Hiroki Yano),84/109,Pokemon Retriever - 2006 (Hiroki Yano)
Charmander,98/97,Charmander
Nidoran F,57/64,Nidoran F
Froakie,004/012,Froakie
Leavanny (Master Ball Pattern),003/086,Leavanny (Master Ball Pattern)
Darkness Energy (2011 Play! Pokemon),,Darkness Energy (2011 Play! Pokemon)
Poliwrath,11/112,Poliwrath
Fighting Energy (#8),8/30,Fighting Energy (#8)
Muk & Alolan Muk GX (197) (Full Art),197/214,Muk & Alolan Muk GX (197) (Full Art)
Energy Switch (Secret),212/195,Energy Switch (Secret)
Salazzle - SM73 (Prerelease) [Staff],SM73,Salazzle (Prerelease) [Staff]
Camerupt,18,Camerupt
Fairy Energy (#25),25/30,Fairy Energy (#25)
Code Card - Detective Pikachu Case File [Greninja GX],,Code Card - Detective Pikachu Case File [Greninja GX]
M Pidgeot EX (Full Art),105/108,M Pidgeot EX (Full Art)
Giant Stump - 2006 (Jimmy Ballard),75/92,Giant Stump - 2006 (Jimmy Ballard)
Turffield Stadium (Secret),234/203,Turffield Stadium (Secret)
Dark Crobat,3/109,Dark Crobat
Shiftry ex,97/100,Shiftry ex
Seel (94),094/144,Seel
Time Shard,135/147,Time Shard
Lurantis - SM25,SM25,Lurantis
Carnivine,007/017,Carnivine
Solgaleo GX - SM104a,SM104a,Solgaleo GX
Zapdos ex - 049,049,Zapdos ex
Charmander,069/130,Charmander
Nessa (Secret),196/185,Nessa (Secret)
Delibird,039/123,Delibird
Mewtwo EX - XY125,XY125,Mewtwo EX
Genesect V,185/264,Genesect V
Hydrapple ex,014/142,Hydrapple ex
Jolteon (13),013/144,Jolteon
Graveler,30/64,Graveler
Gym Badge (Sabrina),XY208,Gym Badge (Sabrina)
Cornerstone Mask Ogerpon ex,215/167,Cornerstone Mask Ogerpon ex
Here Comes Team Rocket! (71),71/82,Here Comes Team Rocket!
Floatzel GL,4/111,Floatzel GL
Skitty,71/109,Skitty
Gallade EX - XY45 (XY Black Star Promo),XY45,Gallade EX (XY Black Star Promo)
Arceus & Dialga & Palkia GX,156/236,Arceus & Dialga & Palkia GX
Code Card - Red & Blue Collection [Pikachu EX],,Code Card - Red & Blue Collection [Pikachu EX]
Marshadow GX - SM59,SM59,Marshadow GX
Gothitelle - 211,211,Gothitelle
Blaine's Charmander,061/132,Blaine's Charmander
Shedinja,44,Shedinja
Float Stone - 2018 (Magnus Pedersen),137/162,Float Stone - 2018 (Magnus Pedersen)
Kartana GX,70/111,Kartana GX
Minccino (#4),4/30,Minccino (#4)
Ditto - 2025 (Yuya Okita),,Ditto - 2025 (Yuya Okita)
Magneton,38/108,Magneton
Raticate,058/130,Raticate
Articuno ex,114/112,Articuno ex
Unown (U),78/146,Unown (U)
Heat Factory Prism Star - 2019 (Shintaro Ito),178/214,Heat Factory Prism Star - 2019 (Shintaro Ito)
Hydreigon,79/101,Hydreigon
Night Maintenance,009/017,Night Maintenance
Gastrodon,107/191,Gastrodon
Cryogonal,111/086,Cryogonal
Honchkrow V (Alternate Full Art),162/172,Honchkrow V (Alternate Full Art)
Aurorus,26/111,Aurorus
Lucario,67/156,Lucario
Palafin,225/091,Palafin
Volcanion EX,26/114,Volcanion EX
Psychic Energy - 2009 (Tsubasa Nakamura),,Psychic Energy - 2009 (Tsubasa Nakamura)
Medicham,34,Medicham
Luxray GL,9/111,Luxray GL
Melony (Secret),218/198,Melony (Secret)
Dratini,66/113,Dratini
Mega Manectric ex,158/132,Mega Manectric ex
Pikachu,48/162,Pikachu
Mimikyu (Secret),245/236,Mimikyu (Secret)
Iris's Fighting Spirit (Regional Championships),149/159,Iris's Fighting Spirit (Regional Championships)
Team Rocket's Mewtwo ex,205,Team Rocket's Mewtwo ex
N - 2013 (Ian Whiton),96/108,N - 2013 (Ian Whiton)
Nidorino,055/147,Nidorino
Articuno (22),22/53,Articuno
Garchomp (91),91/124,Garchomp
Zapdos - 157 (Cosmos Holo),157,Zapdos (Cosmos Holo)
Ponyta (UK Exclusive Promo),014/083,Ponyta (UK Exclusive Promo)
Blastoise & Piplup GX (Alternate Full Art),215/236,Blastoise & Piplup GX (Alternate Full Art)
Melmetal,129/214,Melmetal
Castform,30/101,Castform
Alolan Vulpix VSTAR (Secret),197/195,Alolan Vulpix VSTAR (Secret)
Galarian Obstagoon,TG10/TG30,Galarian Obstagoon
Galarian Moltres V (Full Art),176/198,Galarian Moltres V (Full Art)
Galarian Articuno,063/203,Galarian Articuno
Fearow (45),045/165,Fearow
Chien-Pao - 152,152,Chien-Pao
Ferrothorn,149/086,Ferrothorn
Alolan Dugtrio,208/191,Alolan Dugtrio
Sceptile,20/109,Sceptile
Junk Arm - 2011 (Christopher Kan),87/102,Junk Arm - 2011 (Christopher Kan)
Orbeetle VMAX,TG13/TG30,Orbeetle VMAX
Dark Wartortle,46/82,Dark Wartortle
Drifblim,16/100,Drifblim
Lickilicky,33/127,Lickilicky
